name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury,averageAdp,sleeperAdp,espnAdp,yahooAdp,nflAdp,ffCheatsheetAdp
Derrick Henry,RB,BAL,0.0,0.0,0.0,1249.5,12.5,27.5,199.0,1.0,0.0,https://assets.actionnetwork.com/200x200/0e246e3012b24c8b8d68e9adc8b2c11e.png,253.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Isiah Pacheco,RB,DET,0.0,0.0,0.0,500.5,4.5,20.5,140.0,0.5,0.0,https://assets.actionnetwork.com/200x200/8c8d4eb615db4024bf362daad5f7cec0.png,114.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
J.K. Dobbins,RB,DEN,0.0,0.0,0.0,675.5,5.5,23.0,154.0,0.5,0.0,https://assets.actionnetwork.com/200x200/1970049f7f49425f8bd1f6d701266d44.png,141.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jacory Croskey-Merritt,RB,WAS,0.0,0.0,0.0,550.5,4.5,21.0,176.0,1.0,0.0,https://assets.actionnetwork.com/200x200/f7f24627e34d47ec8e21bb66953cd43c.png,126.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jadarian Price,RB,SEA,0.0,0.0,0.0,750.5,5.5,27.0,205.0,1.0,0.0,https://assets.actionnetwork.com/200x200/2206caa7d4e842ad81af3a9eaf565b0d.png,161.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jahmyr Gibbs,RB,DET,0.0,0.0,0.0,1200.5,12.5,57.5,450.5,3.5,0.0,https://assets.actionnetwork.com/200x200/2b16bc668b0441b1b0b9e79ea9cccd9d.png,318.6,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
James Cook,RB,BUF,0.0,0.0,0.0,1250.5,10.5,34.0,267.0,1.5,0.0,https://assets.actionnetwork.com/200x200/44bf626f7ff5429d8de836331f3c8d1d.png,257.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Javonte Williams,RB,DAL,0.0,0.0,0.0,949.5,9.5,37.5,252.0,1.5,0.0,https://assets.actionnetwork.com/200x200/38b8fc7ee428484296e72e84eaf26066.png,223.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jaylen Warren,RB,PIT,0.0,0.0,0.0,600.5,5.5,39.5,295.0,1.0,0.0,https://assets.actionnetwork.com/200x200/cc5cedc9e5f4411ca51302f699a096ea.png,168.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jeremiyah Love,RB,ARI,0.0,0.0,0.0,900.5,5.5,30.5,231.0,1.0,0.0,https://assets.actionnetwork.com/200x200/81feb172fa564909bd2101ab4ccc9ac5.png,182.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jonathan Taylor,RB,IND,0.0,0.0,0.0,1250.5,11.5,36.0,273.0,1.5,0.0,https://assets.actionnetwork.com/200x200/c5c8828b88d3483ab6ba6b6a23cd962e.png,266.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jordan Mason,RB,MIN,0.0,0.0,0.0,649.5,4.5,22.5,177.0,1.0,0.0,https://assets.actionnetwork.com/200x200/bffdf51bf2cd451795c9ecfeb252ad57.png,138.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Kenneth Walker III,RB,KC,0.0,0.0,0.0,925.5,7.5,37.0,273.0,1.0,0.0,https://assets.actionnetwork.com/200x200/0932cab8c7cf45d28a27f91e5ccab950.png,207.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Kyle Monangai,RB,CHI,0.0,0.0,0.0,649.5,4.5,25.0,175.0,1.0,0.0,https://assets.actionnetwork.com/200x200/0e5af9e099db494a8e5a06459ab209c3.png,140.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Kyren Williams,RB,LA,0.0,0.0,0.0,999.5,9.5,33.0,235.0,1.0,0.0,https://assets.actionnetwork.com/200x200/dd78e04bfc18425c85021803bd5fea35.png,219.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Omarion Hampton,RB,LAC,0.0,0.0,0.0,925.5,7.5,36.5,270.0,1.0,0.0,https://assets.actionnetwork.com/200x200/fd2b8533cafc45fcabb03986653c9c27.png,207.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Quinshon Judkins,RB,CLE,0.0,0.0,0.0,900.5,6.5,31.5,237.0,1.0,0.0,https://assets.actionnetwork.com/200x200/608c45da8aa54561bffbac17d68eaae7.png,190.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Rhamondre Stevenson,RB,NE,0.0,0.0,0.0,624.5,5.5,32.0,234.0,1.0,0.0,https://assets.actionnetwork.com/200x200/0d94956d0d5a45ea95cb7f3e91e8a521.png,156.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Rico Dowdle,RB,PIT,0.0,0.0,0.0,750.5,4.5,32.0,234.0,1.0,0.0,https://assets.actionnetwork.com/200x200/3158013ec99c46d6b39cb5ba85e9c0b7.png,163.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Saquon Barkley,RB,PHI,0.0,0.0,0.0,1099.5,7.5,32.5,250.5,1.5,0.0,https://assets.actionnetwork.com/200x200/00b49214b0094e6a8b4718b2b9a50033.png,221.5,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Tony Pollard,RB,TEN,0.0,0.0,0.0,800.5,5.5,32.5,235.0,1.0,0.0,https://assets.actionnetwork.com/200x200/ab1dc56a759d4fde9387868b52d94d50.png,175.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Travis Etienne,RB,NO,0.0,0.0,0.0,799.5,5.5,32.5,244.0,1.0,0.0,https://assets.actionnetwork.com/200x200/cf58983d0f8348be879b5ccbea1f48e3.png,175.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
TreVeyon Henderson,RB,NE,0.0,0.0,0.0,700.5,6.5,30.5,217.0,1.0,0.0,https://assets.actionnetwork.com/200x200/4cdc7546b4144942b0854fee5a5bb8f1.png,167.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
A.J. Brown,WR,NE,0.0,0.0,0.0,0.0,0.0,81.5,1100.5,7.5,0.0,https://assets.actionnetwork.com/200x200/ed95c86e851d4833a19a58e53523ac40.png,236.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Alec Pierce,WR,IND,0.0,0.0,0.0,0.0,0.0,56.0,799.5,5.5,0.0,https://assets.actionnetwork.com/200x200/20b2cc1b140a4756810c9e3e63c84bee.png,168.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Amon-Ra St. Brown,WR,DET,0.0,0.0,0.0,8.0,0.0,100.0,1250.5,9.5,0.0,https://assets.actionnetwork.com/200x200/78ef1d76dc5e4abb9652839a543e97fb.png,282.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Brenton Strange,TE,JAC,0.0,0.0,0.0,0.0,0.0,47.5,490.5,3.5,0.0,https://assets.actionnetwork.com/200x200/4178a11c828247dfb70ee4780563d505.png,117.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Brian Thomas,WR,JAC,0.0,0.0,0.0,14.0,0.0,53.0,700.5,4.5,0.0,https://assets.actionnetwork.com/200x200/fe81250e4bd244fa9c4c1d782c431975.png,151.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Brock Bowers,TE,LV,0.0,0.0,0.0,12.0,0.0,80.5,900.5,7.5,0.0,https://assets.actionnetwork.com/200x200/73071b6b431d4c3eb4b24a89e50388fd.png,216.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Cade Otton,TE,TB,0.0,0.0,0.0,4.0,0.0,42.0,425.5,2.5,0.0,https://assets.actionnetwork.com/200x200/feb8c08be46b4be4b3eb0798da3d8548.png,99.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Calvin Ridley,WR,TEN,0.0,0.0,0.0,18.0,0.0,37.0,574.5,3.5,0.0,https://assets.actionnetwork.com/200x200/557f07ec96fe4532a1d85f47378e5f77.png,117.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Carnell Tate,WR,TEN,0.0,0.0,0.0,20.0,0.0,59.0,775.5,4.5,0.0,https://assets.actionnetwork.com/200x200/00e5a4b820a8496581276ff78948be65.png,165.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
CeeDee Lamb,WR,DAL,0.0,0.0,0.0,64.0,0.5,87.5,1175.5,7.5,0.0,https://assets.actionnetwork.com/200x200/bf14c9f60c934dbb8290cda6ad89b01a.png,259.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Chig Okonkwo,TE,WAS,0.0,0.0,0.0,2.0,0.0,46.0,475.5,3.5,0.0,https://assets.actionnetwork.com/200x200/a04b6dbd6c614247a7426a901a26f5d4.png,114.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Chris Godwin,WR,TB,0.0,0.0,0.0,6.0,0.0,58.0,675.5,4.5,0.0,https://assets.actionnetwork.com/200x200/2f4bfaaff1fd48a999f617548b916864.png,153.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Chris Olave,WR,NO,0.0,0.0,0.0,8.0,0.0,84.5,1024.5,5.5,0.0,https://assets.actionnetwork.com/200x200/f6fc8e7dcfd14bb1b332c3d910ea0d90.png,220.75,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Christian Watson,WR,GB,0.0,0.0,0.0,18.0,0.0,55.5,775.5,6.5,0.0,https://assets.actionnetwork.com/200x200/40975975613b4a0db75fb42dda437043.png,173.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Colston Loveland,TE,CHI,0.0,0.0,0.0,12.0,0.0,73.0,800.5,5.5,0.0,https://assets.actionnetwork.com/200x200/05df7d8424314bf699b57e03786ca5fb.png,187.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Courtland Sutton,WR,DEN,0.0,0.0,0.0,0.0,0.0,58.0,774.5,6.5,0.0,https://assets.actionnetwork.com/200x200/4b13b9950c334039a7704680185dc4f3.png,174.45,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
