name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,teamImage,fantraxPPR,sleeperPPR,espnPPR,yahooPPR,underdogHalfPPR,sleeperHalfPPR,fantraxStandard,sleeperStandard,consensusPPR,consensusHalfPPR,consensusStandard,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury
Sam Darnold,QB,SEA,3699.5,23.5,10.0,117.0,1.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ac820adb0f8647b48e6283276ab696a1.png,https://static.sprtactn.co/teamlogos/nfl/100/sea.png,291,181,164,124.0,143.0,164,282.0,170.0,172,154,226.0,239.67999999999995,0,0,0,,0,0,0,0,0,
Trevor Lawrence,QB,JAC,3750.5,25.5,9.5,226.0,4.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/06ae27e9a4064f3bba3cf700477b4c67.png,https://static.sprtactn.co/teamlogos/nfl/100/jac.png,88,97,96,86.0,86.0,97,0.0,89.0,92,91,89.0,282.62,0,0,0,,0,0,0,0,0,
Tyler Shough,QB,NO,3500.5,20.5,8.5,185.0,3.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/9902e79b07b54c7fb664deb2edab5134.png,https://static.sprtactn.co/teamlogos/nfl/100/no.png,120,160,154,130.0,124.0,164,0.0,154.0,142,144,154.0,241.51999999999998,0,0,0,,0,0,0,0,0,
Aaron Jones,RB,MIN,0.0,0.0,0.0,549.5,4.5,31.0,223.0,1.0,0.0,https://assets.actionnetwork.com/200x200/591d9c151b774998b05087ca5b84296f.png,https://static.sprtactn.co/teamlogos/nfl/100/min.png,124,110,122,119.0,123.0,104,0.0,104.0,121,114,104.0,141.25,0,0,0,,0,0,0,0,0,
Ashton Jeanty,RB,LV,0.0,0.0,0.0,975.5,7.5,48.5,350.5,1.0,0.0,https://assets.actionnetwork.com/200x200/1c61f9d1d14c4d0eae4ca7298601c8c8.png,https://static.sprtactn.co/teamlogos/nfl/100/oak.png,10,13,18,13.0,12.0,12,0.0,12.0,13,12,12.0,232.1,0,0,0,,0,0,0,0,0,
Bhayshul Tuten,RB,JAC,0.0,0.0,0.0,750.5,5.5,13.0,100.0,1.0,0.0,https://assets.actionnetwork.com/200x200/7e996107b93e48589a7367ee783b9f6e.png,https://static.sprtactn.co/teamlogos/nfl/100/jac.png,62,60,78,64.0,50.0,60,0.0,55.0,63,55,55.0,137.05,0,0,0,,0,0,0,0,0,
Bijan Robinson,RB,ATL,0.0,0.0,0.0,1174.5,8.5,78.0,575.5,3.5,0.0,https://assets.actionnetwork.com/200x200/c64d432c7dca428ca3bdbdd1d9c9856b.png,https://static.sprtactn.co/teamlogos/nfl/100/atl.png,2,2,3,2.0,2.0,2,0.0,2.0,2,2,2.0,325.0,0,0,0,,0,0,0,0,0,
Blake Corum,RB,LA,0.0,0.0,0.0,674.5,5.5,18.0,155.0,0.5,0.0,https://assets.actionnetwork.com/200x200/c82118b208d74c49897c165874625490.png,https://assets.actionnetwork.com/524632_rams.png,100,101,139,98.0,91.0,91,0.0,100.0,100,91,100.0,136.95,0,0,0,,0,0,0,0,0,
Breece Hall,RB,NYJ,0.0,0.0,0.0,900.5,5.5,45.5,325.5,1.5,0.0,https://assets.actionnetwork.com/200x200/fbd568d716fa439eb7c14c1991a2cdc2.png,https://assets.actionnetwork.com/372790_jets.png,31,31,38,38.0,30.0,31,0.0,31.0,34,30,31.0,210.1,0,0,0,,0,0,0,0,0,
Bucky Irving,RB,TB,0.0,0.0,0.0,800.5,5.5,41.5,316.0,1.5,0.0,https://assets.actionnetwork.com/200x200/dd9edf5ca5554174a9982269232ede67.png,https://static.sprtactn.co/teamlogos/nfl/100/tb.png,58,38,55,52.0,56.0,45,56.0,37.0,53,50,46.0,195.15,0,0,0,,0,0,0,0,0,
Cam Skattebo,RB,NYG,0.0,0.0,0.0,824.5,6.5,36.0,275.5,1.0,0.0,https://assets.actionnetwork.com/200x200/330682aa6bfe4959867c24acfeffc525.png,https://static.sprtactn.co/teamlogos/nfl/100/nygd.png,41,46,43,41.0,43.0,38,0.0,42.0,42,41,42.0,191.0,0,0,0,,0,0,0,0,0,
Chase Brown,RB,CIN,0.0,0.0,0.0,825.5,5.5,34.0,230.0,1.5,0.0,https://assets.actionnetwork.com/200x200/9ba7e051c86742af85780bea4e540d41.png,https://static.sprtactn.co/teamlogos/nfl/100/cin.png,14,18,26,17.0,16.0,15,0.0,21.0,17,15,21.0,181.55,0,0,0,,0,0,0,0,0,
Christian McCaffrey,RB,SF,0.0,0.0,0.0,950.5,8.5,74.0,550.5,4.5,0.0,https://assets.actionnetwork.com/200x200/9bfffe652e4d4a39be9570267415af2b.png,https://static.sprtactn.co/teamlogos/nfl/100/sf.png,5,6,6,6.0,6.0,5,0.0,5.0,6,6,5.0,302.1,0,0,0,,0,0,0,0,0,
Chuba Hubbard,RB,CAR,0.0,0.0,0.0,699.5,4.5,20.5,144.0,0.5,0.0,https://assets.actionnetwork.com/200x200/aa332c869e2141a3ad88e03e45300817.png,https://static.sprtactn.co/teamlogos/nfl/100/car.png,89,78,113,72.0,84.0,74,87.0,77.0,83,79,82.0,134.85,0,0,0,,0,0,0,0,0,
D'Andre Swift,RB,CHI,0.0,0.0,0.0,800.5,6.5,27.5,203.0,0.5,0.0,https://assets.actionnetwork.com/200x200/fe2736f94562489bb2356141694ee617.png,https://assets.actionnetwork.com/598430_bears1.png,50,58,72,50.0,50.0,53,0.0,54.0,54,51,54.0,169.85,0,0,0,,0,0,0,0,0,
David Montgomery,RB,HOU,0.0,0.0,0.0,824.5,7.5,16.0,123.0,0.5,0.0,https://assets.actionnetwork.com/200x200/3a0e647335e44025a723386da91cbb7e.png,https://static.sprtactn.co/teamlogos/nfl/100/hou.png,51,54,74,54.0,48.0,49,0.0,52.0,54,49,52.0,158.75,0,0,0,,0,0,0,0,0,
